ComunidadesAutonomas;EsperanzaVida;Natalidad
01 Andalucía;81,43;7,1
02 Aragón;83,27;7,7
03 Asturias, Principado de;82,74;7,2
04 Balears, Illes;83,32;4,74
05 Canarias;82,47;7,8
06 Cantabria;83,67;5,66
07 Castilla y León;83,92;5,63
08 Castilla - La Mancha;83,02;5,5
09 Cataluña;83,33;7,08
10 Comunitat Valenciana;82,19;7,51
11 Extremadura;82,11;7,05
12 Galicia;83,42;6,86
13 Madrid, Comunidad de;84,64;5,49
14 Murcia, Región de;82,3;7,61
15 Navarra, Comunidad Foral de;84,32;9,09
16 País Vasco;83,68;7,78
17 Rioja, La;83,25;6,55
18 Ceuta;78,16;6,92
19 Melilla;79,41;8,68
;;11,13
